product_id,product_name,category_id,subcategory_id,brand_id,unit_cost,unit_price,warranty_years,product_segment
1,Philips 55PUT7630/98 55'' UHD Smart Led TV,1,1,1,280.00,327.68,2,Mid Tier
2,Samsung UE55U8000FUXMU 55'' Led TV,1,1,2,310.00,372.46,2,Mid Tier
3,Samsung TU32H5005FKXXC 32'' Led TV,1,1,2,160.00,179.74,2,Entry Level
4,Samsung UE43U8000FUXMU 43'' Led TV,1,1,2,230.00,271.20,2,Entry Level
5,Philips 40PFT6509/98 40'' Led TV,1,1,1,140.00,169.46,2,Entry Level
6,Samsung QE50Q7FAAUXMU 50'' Led TV,1,1,2,310.00,353.46,2,Mid Tier
7,Philips 43PUT7630/98 43'' UHD Smart Led TV,1,1,1,200.00,235.60,2,Entry Level
8,Philips 50PUT7630/98 50'' UHD Smart Led TV,1,1,1,230.00,259.48,2,Entry Level
9,"Hisense 40A4N 40"" FHD Smart Led TV",1,1,3,140.00,156.93,2,Entry Level
10,Philips 65PUT7630/98 65'' UHD Smart Led TV,1,1,1,470.00,557.75,2,Mid Tier
11,Hisense 43A6N 43” UHD Smart Led TV,1,1,3,230.00,276.29,2,Entry Level
12,"Hisense 55A6N 55"" 4K Smart Led TV",1,1,3,280.00,327.61,2,Mid Tier
13,"Hisense 50A6N 50"" 4K Smart Led TV",1,1,3,230.00,267.53,2,Entry Level
14,Samsung TU70U8005FUXXC 70'' Led TV,1,1,2,610.00,737.50,2,Mid Tier
15,"Hisense 32A4N 32"" HD Ready Smart Led TV",1,1,3,110.00,126.40,2,Low
16,"Hisense 58A6N 58"" 4K Smart Led TV",1,1,3,300.00,344.65,2,Mid Tier
17,Hisense 32A5NQ 32” Qled FHD smart TV,1,1,3,160.00,192.10,2,Entry Level
18,Samsung UE50U8000FUXMU 50'' Led TV,1,1,2,300.00,354.03,2,Mid Tier
19,Samsung TU75U8005FUXXC 75'' Led TV,1,1,2,860.00,1005.10,2,High End
20,"Hisense 65A6N 65"" 4K Smart Led TV",1,1,3,390.00,451.55,2,Mid Tier
21,Samsung TQ85Q60DAUXXC QLED TV,1,1,2,1560.00,1841.70,2,High End
22,Samsung QE55Q7FAAUXMU 55'' QLed TV,1,1,2,390.00,475.19,2,Mid Tier
23,"Hisense 55U6K 55"" Qled Smart Tv",1,1,3,360.00,404.45,2,Mid Tier
24,"Toshiba 55C350NN 55"" 4k SMART Led Tv",1,1,4,360.00,424.68,2,Mid Tier
25,Samsung TQ65S90DATXXC OLED Screen TV,1,1,2,1560.00,1887.76,2,High End
26,"Toshiba 50C350NN 50"" 4k SMART Led Tv",1,1,4,300.00,344.28,2,Mid Tier
27,Toshiba 43C350MN 43” 4K smart Led TV,1,1,4,230.00,269.16,2,Entry Level
28,"Hisense 75U6K 75"" Qled Smart Tv",1,1,3,700.00,841.87,2,High End
29,Sony 43X75K 43'' 4K Smart Android Led TV,1,1,5,390.00,458.54,2,Mid Tier
30,Xiaomi TV A 43 2026,1,1,6,250.00,299.54,2,Entry Level
31,Xiaomi TV A Pro 65 2026,1,1,6,500.00,603.24,2,Mid Tier
32,Samsung UE65U8000FUXMU 65'' Led TV,1,1,2,620.00,729.76,2,Mid Tier
33,Philips 32PHT6509/98 32'' HD Ready Smart Led TV,1,1,1,110.00,128.38,2,Low
34,Hisense 50E7H 50” Qled Smart Tv,1,1,3,300.00,360.95,2,Mid Tier
35,"Toshiba 65C350NN 65"" 4k SMART Led Tv",1,1,4,500.00,587.82,2,Mid Tier
36,Samsung QE65Q7FAAUXMU 65'' Led TV,1,1,2,620.00,743.33,2,Mid Tier
37,Hisense HE100L5 100” Laser TV 4K smart,1,1,3,3110.00,3485.05,2,Flagship
38,Xiaomi TV A Pro 55 2026,1,1,6,370.00,435.36,2,Mid Tier
39,Hisense 32A4H 32'' Smart HD Ready Led TV,1,1,3,110.00,132.77,2,Low
40,"Hisense 65U6K 65"" Qled Smart Tv",1,1,3,470.00,565.74,2,Mid Tier
41,Sony 50X75K 50'' 4K Smart Android Led TV,1,1,5,470.00,563.67,2,Mid Tier
42,Sony 65A 80L 65” Oled smart Tv,1,1,5,1870.00,2118.39,2,Flagship
43,Sony KD-65X75K 4K Smart Android Led Tv,1,1,5,700.00,845.96,2,High End
44,Samsung UA55AU7000UXKE 55'' LED TV,1,1,2,280.00,333.37,2,Mid Tier
45,Hisense 85A7500WF 85'' 4K Smart TV,1,1,3,780.00,945.42,2,High End
46,Hisense 55U7WF 55'' Uled 4K Smart TV,1,1,3,360.00,433.31,2,Mid Tier
47,Samsung UA32T5300AUXKE 32'' HD Ready Smart TV,1,1,2,110.00,131.68,2,Low
48,Hisense 40A4G 40” FHD Smart Led TV,1,1,3,110.00,131.76,2,Low
49,Hisense 32A4G 32'' HD Ready Smart TV,1,1,3,90.00,104.91,2,Low
50,"JVC LT-50N795M 50"" UHD SMART TV",1,1,7,120.00,144.05,2,Low
51,"JVC LT-55N775M 55"" UHD SMART TV",1,1,7,190.00,227.92,2,Entry Level
52,Hisense 40A4H-40A33EAVT 40'' FHD Smart TV,1,1,3,140.00,167.82,2,Entry Level
53,Samsung TU43CU7105KXXC 43'' Led TV,1,1,2,220.00,264.32,2,Entry Level
54,Samsung UA43AU7000UXKE/UA43CU7000UXKE 43'' Led TV,1,1,2,190.00,219.15,2,Entry Level
55,Xiaomi L43M6-6AEU 43” 4k smart TV,1,1,6,150.00,182.15,2,Entry Level
56,Hisense 50A6H-50A53FXVT 50'' 4K Smart TV,1,1,3,230.00,273.99,2,Entry Level
